在原文件第几行	插值缺少几行
159	54
243	148
441	87
569	20
606	3
685	55
740	37
1081	1
1676	746
1744	64
2056	35
2077	1
2109	1
2123	1
2286	47
2469	1
2501	1
2566	1
2581	1
2595	1
2596	1
2610	1
2613	1
2624	1
2625	1
2638	1
2642	1
2905	1
3131	1
3802	126
4227	55
4883	39
5244	339
6634	44
6915	1
8123	60
8505	37
8630	58
8731	62
8788	52
8815	39
8826	60
8892	84
8913	42
9084	34
9765	39
9840	32
10627	5
10644	7
10696	51
10887	42
10927	42
10976	6
10978	3
10984	5
11020	1
11026	4
11076	36
11103	1
11127	1
11138	6
11179	33
11194	1
11207	1
11213	10
11215	1
11228	1
11245	1
11259	1
11276	1
11290	1
11307	1
11321	1
11353	1
11415	1
11418	5
11421	1
11436	3
11438	2
11439	4
11445	1
11481	34
11945	18
12000	3
12014	1
12151	1
12153	4
12165	17
12166	2
12170	19
12262	17
12272	9
12289	10
12423	2
12451	3
12453	1
12455	1
12467	15
12470	2
12474	1422
12569	20624
12627	138
12728	928
14257	38
14450	43
14925	29
15678	57
15959	1
15999	67
16012	35
16171	1
16240	55
16299	1
16693	134
16750	9
16764	1
16777	1
16778	72
17030	1
17034	4
17035	4
17039	143
17107	83
17193	33
17418	50
17422	122
19591	57
19666	109
20214	3
20344	4
20353	5
20388	5
20389	3
20403	2
20404	328
20638	56
20661	41
21701	9
21703	1
21712	1
21715	1
21727	1
21732	1
21814	10
21820	1
21828	1
21832	1
21842	1
21849	1
21857	1
21861	1
21871	1
21878	1
21885	1
21888	104
21900	3
21923	3
21926	2
21935	4
22056	2
22114	8
22282	2
22298	1
22301	1
22312	2
22313	1
22316	1
22319	1
22324	1
22327	1
22341	1
22354	1
22356	1
22371	1
22384	1
22386	1
22401	1
22414	1
22416	1
22431	1
22444	1
22452	8
22482	3
22483	1
22491	8
22503	8
22553	2
22571	5
22584	131
22611	8
22641	8
22666	1
22681	8
22689	1
22711	8
22805	42
22831	8
22852	1
22875	35
22879	3
22880	4
22883	1
22944	155
22969	51
23035	112
23108	8
23128	8
23143	1
23144	2
23197	3
23199	2
23216	5
23224	4
23246	7
23254	4
23257	1
23268	4
23279	6
23310	1
23318	1
23342	2
23344	1
