在原文件第几行	插值缺少几行
460	1305
857	313
1385	25
1550	51302
2251	1
2264	3
2993	165
3255	1340
3256	5
3260	1
3264	10
3265	1
3270	4
3271	4
3279	1
3281	1
3296	1
3309	1
3311	1
3326	1
3339	1
3341	1
3356	1
3367	1
3368	1
3369	1
3383	3
3384	3
3385	1
3386	1
3387	1
3388	8
3400	1
3418	1
3423	1
3430	1
3437	1
3438	1
3443	1
3445	1
3450	1
3457	1
3460	1
3465	1
3474	1
3477	1
3480	1
3483	1
3502	1
3509	1
3514	1
3523	1
3526	1
3543	1
3548	1
3557	1
3558	1
3573	1
3578	1
3589	1
3592	1
3640	1
3641	1
3652	1
3669	1
3678	1
3685	4
3686	3
3687	2
3690	1
3695	1
3716	1
3735	1
3746	1
3755	2
3756	1
3757	9
3758	1
3759	3
3763	1
3785	1
3788	1
3789	1
3804	1
3817	1
3818	1
3835	1
3870	1
3879	1
3880	1
3883	1
3890	1
3895	1
3896	1
3903	1
3906	1
3915	1
3920	1
3931	1
3934	1
3935	1
3971	1
3972	1
3979	1
3980	1
3982	11
3983	1
3984	7
3985	1
3986	36
3993	1
3998	1
4005	1
4010	1
4011	1
4012	1
4015	1
4016	1
4021	1
4022	1
4025	1
4040	1
4055	1
4066	1
4071	1
4084	1
4096	1
4097	1
4130	1
4138	1
4145	1
4559	91
4578	2
5274	34
5401	157
5510	658
6120	127
6344	43
6463	5548
7526	1
9316	130
9406	48
9586	87
9628	809
9870	34
9892	1
9967	74
10222	7041
10238	102
10652	699
10676	41
10739	46612
10740	4
10744	1
10757	1
10758	1
10781	8119
10856	2
10903	341
10905	1
10910	1
10912	1
10913	2
10916	1
10935	1
10936	1
10941	1
10946	1
10947	2
10952	1
10958	2
10980	1
11258	1
11402	1
11424	37
11486	1
11513	1
11550	1
11559	1
11565	2
11569	1
11575	1
11580	1
11585	1
11599	3
11614	1
11631	1
11640	1
11802	1
11853	2
11854	1
11897	1
11898	1
11902	1
11948	129
12229	1
12242	1
12251	1
12258	1
12271	1
12280	1
12291	1
12300	1
12307	1
12439	1
12484	1
12511	1
12512	1
12516	1
12551	1
12558	1
12589	1
12640	1
12663	1
12664	1
12700	1
12737	1
12742	1
12747	1
12756	1
12767	1
12768	1
12775	1
12780	1
12785	1
12794	1
12795	2
12808	1
12809	2
12813	1
12814	1
12819	1
12820	1
12825	1
12826	1
12857	1
12864	3
12868	1
12882	1
12887	1
12894	1
12901	1
12909	3
12917	1
12918	1
12935	1
12937	1
12941	1
12947	1
12949	1
12956	1
12957	1
12963	2
12969	1
12984	1
12989	1
12990	1
13003	1
13007	3
13008	1215
13108	35
