突变位置
10673	10675
11107	11108
11109	11110
11111	11113
20436	20437
20440	20441
21825	21827
22027	22028
22029	22030
22624	22625
23254	23255
23366	23367
34286	34288
41962	41963
42149	42150
43777	43778
44188	44189
44298	44299
44350	44351
45526	45528
45529	45530
45597	45598
45843	45844
46231	46232
48215	48216
50150	50151
50154	50156
50162	50167
50204	50206
50296	50297
50298	50299
50314	50315
66487	66491
73788	73789
73834	73835
73836	73837
73838	73839
79615	79616
79629	79630
79632	79635
79753	79754
79755	79756
79759	79760
80520	80521
80539	80541
80546	80547
80642	80644
81123	81124
81388	81390
81630	81631
81667	81669
81843	81844
82504	82506
82507	82508
83537	83538
83857	83863
83917	83918
83920	83926
84007	84008
84011	84012
90364	90365
92197	92198
92202	92204
93507	93511
93697	93698
93726	93727
93797	93798
94163	94164
94179	94180
102236	102237
108104	108105
115839	115844
118948	118949
119434	119435
119600	119605
119606	119610
120476	120479
120480	120481
121564	121565
121570	121571
123029	123031
123033	123034
123037	123038
123701	123702
123703	123704
124526	124527
124530	124533
124539	124540
124542	124543
124544	124545
124546	124548
124611	124612
124746	124748
124756	124757
124820	124821
125022	125025
146507	146508
146971	146973
147147	147148
147732	147733
147890	147891
151220	151221
157131	157132
157135	157136
